#motif_id	motif_name	motif_description	source_name	source_version	gene_name	motif_similarity_qvalue	similar_motif_id	similar_motif_description	orthologous_identity	orthologous_gene_name	orthologous_species	description
metacluster_196.3	EcR_usp	EcR/usp	bergman	1.1	PPARD	0	None	None	0.219955	FBgn0000546	D. melanogaster	gene is orthologous to FBgn0000546 in D. melanogaster (identity = 21%) which is directly annotated for motif
metacluster_196.3	EcR_usp	EcR/usp	bergman	1.1	PPARG	0	None	None	0.216842	FBgn0000546	D. melanogaster	gene is orthologous to FBgn0000546 in D. melanogaster (identity = 21%) which is directly annotated for motif
metacluster_196.3	EcR_usp	EcR/usp	bergman	1.1	RARA	0	None	None	0.242424	FBgn0000546	D. melanogaster	gene is orthologous to FBgn0000546 in D. melanogaster (identity = 24%) which is directly annotated for motif
metacluster_196.3	EcR_usp	EcR/usp	bergman	1.1	RARB	0	None	None	0.256696	FBgn0000546	D. melanogaster	gene is orthologous to FBgn0000546 in D. melanogaster (identity = 25%) which is directly annotated for motif
metacluster_196.3	EcR_usp	EcR/usp	bergman	1.1	RORA	0	None	None	0.183556	FBgn0000546	D. melanogaster	gene is orthologous to FBgn0000546 in D. melanogaster (identity = 18%) which is directly annotated for motif
metacluster_196.3	EcR_usp	EcR/usp	bergman	1.1	RORB	0	None	None	0.1939	FBgn0000546	D. melanogaster	gene is orthologous to FBgn0000546 in D. melanogaster (identity = 19%) which is directly annotated for motif
metacluster_196.3	EcR_usp	EcR/usp	bergman	1.1	RORC	0	None	None	0.19112	FBgn0000546	D. melanogaster	gene is orthologous to FBgn0000546 in D. melanogaster (identity = 19%) which is directly annotated for motif
metacluster_196.3	EcR_usp	EcR/usp	bergman	1.1	RXRA	0	None	None	0.458874	FBgn0003964	D. melanogaster	gene is orthologous to FBgn0003964 in D. melanogaster (identity = 45%) which is directly annotated for motif
metacluster_196.3	EcR_usp	EcR/usp	bergman	1.1	RXRB	0	None	None	0.401575	FBgn0003964	D. melanogaster	motif is annotated for orthologous gene FBgn0003964 in D. melanogaster (identity = 40%)
metacluster_196.3	EcR_usp	EcR/usp	bergman	1.1	RXRG	0	None	None	0.421166	FBgn0003964	D. melanogaster	gene is orthologous to FBgn0003964 in D. melanogaster (identity = 42%) which is directly annotated for motif
metacluster_196.3	EcR_usp	EcR/usp	bergman	1.1	THRA	0	None	None	0.236585	FBgn0000546	D. melanogaster	gene is orthologous to FBgn0000546 in D. melanogaster (identity = 23%) which is directly annotated for motif
metacluster_196.3	EcR_usp	EcR/usp	bergman	1.1	VDR	0	None	None	0.250585	FBgn0000546	D. melanogaster	gene is orthologous to FBgn0000546 in D. melanogaster (identity = 25%) which is directly annotated for motif
bergman__Stat92E	Stat92E	Stat92E	bergman	1.1	STAT5A	0	None	None	0.304786	FBgn0016917	D. melanogaster	gene is orthologous to FBgn0016917 in D. melanogaster (identity = 30%) which is directly annotated for motif
bergman__Stat92E	Stat92E	Stat92E	bergman	1.1	STAT5B	0	None	None	0.307497	FBgn0016917	D. melanogaster	gene is orthologous to FBgn0016917 in D. melanogaster (identity = 30%) which is directly annotated for motif
bergman__Stat92E	Stat92E	Stat92E	bergman	1.1	STAT6	0	None	None	0.284841	FBgn0016917	D. melanogaster	motif is annotated for orthologous gene FBgn0016917 in D. melanogaster (identity = 28%)
bergman__Su_H_	Su_H_	Su(H)	bergman	1.1	RBPJ	0	None	None	0.761807	FBgn0004837	D. melanogaster	gene is orthologous to FBgn0004837 in D. melanogaster (identity = 76%) which is directly annotated for motif
bergman__bcd	bcd	bcd	bergman	1.1	ETV2	5.04179e-06	taipale_tf_pairs__ETV2_GSC2_RCCGGANNNNNNNNNNTAATCCN_CAP_repr	ETV2 [ETS] - GSC2 [Homeo]	1	None	None	gene is annotated for similar motif taipale_tf_pairs__ETV2_GSC2_RCCGGANNNNNNNNNNTAATCCN_CAP_repr ('ETV2 [ETS] - GSC2 [Homeo]'; q-value = 5.04e-06)
bergman__bcd	bcd	bcd	bergman	1.1	GSC2	5.04179e-06	taipale_tf_pairs__ETV2_GSC2_RCCGGANNNNNNNNNNTAATCCN_CAP_repr	ETV2 [ETS] - GSC2 [Homeo]	1	None	None	gene is annotated for similar motif taipale_tf_pairs__ETV2_GSC2_RCCGGANNNNNNNNNNTAATCCN_CAP_repr ('ETV2 [ETS] - GSC2 [Homeo]'; q-value = 5.04e-06)
bergman__bcd	bcd	bcd	bergman	1.1	PITX3	9.67574e-06	metacluster_0.2	PITX3	1	None	None	gene is annotated for similar motif jaspar__MA0714.1 ('PITX3'; q-value = 9.68e-06)
bergman__croc	croc	croc	bergman	1.1	FOXC2	0	None	None	0.357285	FBgn0014143	D. melanogaster	gene is orthologous to FBgn0014143 in D. melanogaster (identity = 35%) which is directly annotated for motif
metacluster_5.1	dif_Rel	dif/Rel	bergman	1.1	NFKB1	0	None	None	0.200206	FBgn0011274	D. melanogaster	gene is orthologous to FBgn0011274 in D. melanogaster (identity = 20%) which is directly annotated for motif
metacluster_5.1	dif_Rel	dif/Rel	bergman	1.1	NFKB2	0	None	None	0.211111	FBgn0011274	D. melanogaster	gene is orthologous to FBgn0011274 in D. melanogaster (identity = 21%) which is directly annotated for motif
metacluster_5.1	dif_Rel	dif/Rel	bergman	1.1	REL	0	None	None	0.258944	FBgn0011274	D. melanogaster	gene is orthologous to FBgn0011274 in D. melanogaster (identity = 25%) which is directly annotated for motif
metacluster_5.1	dif_Rel	dif/Rel	bergman	1.1	RELA	0	None	None	0.266788	FBgn0011274	D. melanogaster	gene is orthologous to FBgn0011274 in D. melanogaster (identity = 26%) which is directly annotated for motif
metacluster_5.1	dif_Rel	dif/Rel	bergman	1.1	RELB	0	None	None	0.259067	FBgn0011274	D. melanogaster	gene is orthologous to FBgn0011274 in D. melanogaster (identity = 25%) which is directly annotated for motif
bergman__dl-A	dl-A	dl-A	bergman	1.1	NFKB1	0	None	None	0.214654	FBgn0260632	D. melanogaster	gene is orthologous to FBgn0260632 in D. melanogaster (identity = 21%) which is directly annotated for motif
bergman__dl-A	dl-A	dl-A	bergman	1.1	NFKB2	0	None	None	0.223333	FBgn0260632	D. melanogaster	gene is orthologous to FBgn0260632 in D. melanogaster (identity = 22%) which is directly annotated for motif
bergman__dl-A	dl-A	dl-A	bergman	1.1	REL	0	None	None	0.282794	FBgn0260632	D. melanogaster	gene is orthologous to FBgn0260632 in D. melanogaster (identity = 28%) which is directly annotated for motif
bergman__dl-A	dl-A	dl-A	bergman	1.1	RELA	0	None	None	0.30853	FBgn0260632	D. melanogaster	gene is orthologous to FBgn0260632 in D. melanogaster (identity = 30%) which is directly annotated for motif
bergman__dl-A	dl-A	dl-A	bergman	1.1	RELB	0	None	None	0.284974	FBgn0260632	D. melanogaster	gene is orthologous to FBgn0260632 in D. melanogaster (identity = 28%) which is directly annotated for motif
bergman__dl-B	dl-B	dl-B	bergman	1.1	NFKB1	0	None	None	0.214654	FBgn0260632	D. melanogaster	gene is orthologous to FBgn0260632 in D. melanogaster (identity = 21%) which is directly annotated for motif
bergman__dl-B	dl-B	dl-B	bergman	1.1	NFKB2	0	None	None	0.223333	FBgn0260632	D. melanogaster	gene is orthologous to FBgn0260632 in D. melanogaster (identity = 22%) which is directly annotated for motif
bergman__dl-B	dl-B	dl-B	bergman	1.1	REL	0	None	None	0.282794	FBgn0260632	D. melanogaster	gene is orthologous to FBgn0260632 in D. melanogaster (identity = 28%) which is directly annotated for motif
bergman__dl-B	dl-B	dl-B	bergman	1.1	RELA	0	None	None	0.30853	FBgn0260632	D. melanogaster	gene is orthologous to FBgn0260632 in D. melanogaster (identity = 30%) which is directly annotated for motif
bergman__dl-B	dl-B	dl-B	bergman	1.1	RELB	0	None	None	0.284974	FBgn0260632	D. melanogaster	gene is orthologous to FBgn0260632 in D. melanogaster (identity = 28%) which is directly annotated for motif
metacluster_4.2	dsx	dsx	bergman	1.1	DMRT1	5.90436e-07	metacluster_69.2	DMRT1_HUMAN	1	None	None	gene is annotated for similar motif hocomoco__DMRT1_HUMAN.H11MO.0.D ('DMRT1_HUMAN'; q-value = 5.9e-07)
metacluster_4.2	dsx	dsx	bergman	1.1	DMRTB1	7.20888e-07	metacluster_69.2	DMRT6(DM)/Testis-DMRT6-ChIP-Seq(GSE60440)/Homer	0.532164	ENSMUSG00000028610	M. musculus	gene is orthologous to ENSMUSG00000028610 in M. musculus (identity = 53%) which is annotated for similar motif homer__YDGHTACAWTGTADC_DMRT6 ('DMRT6(DM)/Testis-DMRT6-ChIP-Seq(GSE60440)/Homer'; q-value = 7.21e-07)
bergman__en	en	en	bergman	1.1	CPHXL	0	None	None	0.076543	FBgn0000577	D. melanogaster	gene is orthologous to FBgn0000577 in D. melanogaster (identity = 7%) which is directly annotated for motif
bergman__en	en	en	bergman	1.1	EN1	0	None	None	0.344388	FBgn0000577	D. melanogaster	gene is orthologous to FBgn0000577 in D. melanogaster (identity = 34%) which is directly annotated for motif
bergman__en	en	en	bergman	1.1	ISX	8.13511e-06	metacluster_112.2	Dlx6[gene ID: ENSMUSG00000029754 species: Mus musculus TF status: inferred TF family: Homeodomain DBDs: Homeobox]; Gsx1[gene ID: ENSMUSG00000053129 species: Mus musculus TF status: inferred TF family: Homeodomain DBDs: Homeobox]; HOXC5[gene ID: ENSG00000172789 species: Homo sapiens TF status: inferred TF family: Homeodomain DBDs: Homeobox]; Hesx1[gene ID: ENSMUSG00000040726 species: Mus musculus TF status: inferred TF family: Homeodomain DBDs: Homeobox]; Hoxb1[gene ID: ENSMUSG00000018973 species: Mus musculus TF status: inferred TF family: Homeodomain DBDs: Homeobox]; Hoxb2[gene ID: ENSMUSG00000075588 species: Mus musculus TF status: inferred TF family: Homeodomain DBDs: Homeobox]; Hoxd4[gene ID: ENSMUSG00000101174 species: Mus musculus TF status: inferred TF family: Homeodomain DBDs: Homeobox]; ISX[gene ID: ENSG00000175329 species: Homo sapiens TF status: direct TF family: Homeodomain DBDs: Homeobox]; NKX1-1[gene ID: ENSG00000235608 species: Homo sapiens TF status: inferred TF family: Homeodomain DBDs: Homeobox]; NKX1-2[gene ID: ENSG00000229544 species: Homo sapiens TF status: inferred TF family: Homeodomain DBDs: Homeobox]; OTP[gene ID: ENSG00000171540 species: Homo sapiens TF status: inferred TF family: Homeodomain DBDs: Homeobox]; Prrxl1[gene ID: ENSMUSG00000041730 species: Mus musculus TF status: inferred TF family: Homeodomain DBDs: Homeobox]; SEBOX[gene ID: ENSG00000274529 species: Homo sapiens TF status: inferred TF family: Homeodomain DBDs: Homeobox]	1	None	None	gene is annotated for similar motif cisbp__M00319 ('Dlx6[gene ID: ENSMUSG00000029754 species: Mus musculus TF status: inferred TF family: Homeodomain DBDs: Homeobox]; Gsx1[gene ID: ENSMUSG00000053129 species: Mus musculus TF status: inferred TF family: Homeodomain DBDs: Homeobox]; HOXC5[gene ID: ENSG00000172789 species: Homo sapiens TF status: inferred TF family: Homeodomain DBDs: Homeobox]; Hesx1[gene ID: ENSMUSG00000040726 species: Mus musculus TF status: inferred TF family: Homeodomain DBDs: Homeobox]; Hoxb1[gene ID: ENSMUSG00000018973 species: Mus musculus TF status: inferred TF family: Homeodomain DBDs: Homeobox]; Hoxb2[gene ID: ENSMUSG00000075588 species: Mus musculus TF status: inferred TF family: Homeodomain DBDs: Homeobox]; Hoxd4[gene ID: ENSMUSG00000101174 species: Mus musculus TF status: inferred TF family: Homeodomain DBDs: Homeobox]; ISX[gene ID: ENSG00000175329 species: Homo sapiens TF status: direct TF family: Homeodomain DBDs: Homeobox]; NKX1-1[gene ID: ENSG00000235608 species: Homo sapiens TF status: inferred TF family: Homeodomain DBDs: Homeobox]; NKX1-2[gene ID: ENSG00000229544 species: Homo sapiens TF status: inferred TF family: Homeodomain DBDs: Homeobox]; OTP[gene ID: ENSG00000171540 species: Homo sapiens TF status: inferred TF family: Homeodomain DBDs: Homeobox]; Prrxl1[gene ID: ENSMUSG00000041730 species: Mus musculus TF status: inferred TF family: Homeodomain DBDs: Homeobox]; SEBOX[gene ID: ENSG00000274529 species: Homo sapiens TF status: inferred TF family: Homeodomain DBDs: Homeobox]'; q-value = 8.14e-06)
metacluster_149.1	esg	esg	bergman	1.1	ASCL1	7.82904e-06	metacluster_176.1	ASCL1	1	None	None	motif similar to jaspar__MA1631.1 ('ASCL1'; q-value = 7.83e-06) which is directly annotated
metacluster_149.1	esg	esg	bergman	1.1	ID4	9.63242e-06	metacluster_176.1	hs__ID4	1	None	None	gene is annotated for similar motif swissregulon__hs__ID4 ('hs__ID4'; q-value = 9.63e-06)
metacluster_149.1	esg	esg	bergman	1.1	RBPJL	8.70429e-06	metacluster_176.1	Rbpjl	0.878143	ENSMUSG00000017007	M. musculus	gene is orthologous to ENSMUSG00000017007 in M. musculus (identity = 87%) which is annotated for similar motif jaspar__MA1621.1 ('Rbpjl'; q-value = 8.7e-06)
metacluster_149.1	esg	esg	bergman	1.1	SNAI1	4.03981e-07	metacluster_176.1	SNAI1	1	None	None	gene is annotated for similar motif jaspar__MA1558.1 ('SNAI1'; q-value = 4.04e-07)
metacluster_149.1	esg	esg	bergman	1.1	SNAI2	3.22957e-07	metacluster_176.1	SNAI2 [Znf_C2H2, CpG-meth]	1	None	None	gene is annotated for similar motif taipale_cyt_meth__SNAI2_NRCAGGTGCR_FL_meth ('SNAI2 [Znf_C2H2, CpG-meth]'; q-value = 3.23e-07)
metacluster_149.1	esg	esg	bergman	1.1	SNAI3	4.97485e-07	metacluster_176.1	SNAI3 [Znf_C2H2, CpG-meth]	1	None	None	gene is annotated for similar motif taipale_cyt_meth__SNAI3_NRCAGGTGCR_FL_meth ('SNAI3 [Znf_C2H2, CpG-meth]'; q-value = 4.97e-07)
metacluster_149.1	esg	esg	bergman	1.1	TCF4	3.19207e-06	metacluster_176.1	TCF4	1	None	None	gene is annotated for similar motif jaspar__MA0830.2 ('TCF4'; q-value = 3.19e-06)
bergman__ftz	ftz	ftz	bergman	1.1	PDX1	1.46097e-06	metacluster_118.1	V$IPF1_Q4_01: ipf1	1	None	None	gene is annotated for similar motif transfac_pro__M01013 ('V$IPF1_Q4_01: ipf1'; q-value = 1.46e-06)
metacluster_182.3	gcm	gcm	bergman	1.1	GCM1	0	None	None	0.266055	FBgn0014179	D. melanogaster	gene is orthologous to FBgn0014179 in D. melanogaster (identity = 26%) which is directly annotated for motif
metacluster_182.3	gcm	gcm	bergman	1.1	GCM2	0	None	None	0.281746	FBgn0014179	D. melanogaster	motif is annotated for orthologous gene FBgn0014179 in D. melanogaster (identity = 28%)
metacluster_128.2	h	h	bergman	1.1	HES5	0	None	None	0.26506	FBgn0001168	D. melanogaster	gene is orthologous to FBgn0001168 in D. melanogaster (identity = 26%) which is directly annotated for motif
metacluster_128.2	h	h	bergman	1.1	HEYL	0	None	None	0.179878	FBgn0001168	D. melanogaster	gene is orthologous to FBgn0001168 in D. melanogaster (identity = 17%) which is directly annotated for motif
bergman__hb	hb	hb	bergman	1.1	OVOL2	0	None	None	0.181818	FBgn0001180	D. melanogaster	gene is orthologous to FBgn0001180 in D. melanogaster (identity = 18%) which is directly annotated for motif
bergman__hb	hb	hb	bergman	1.1	OVOL3	0	None	None	0.210526	FBgn0001180	D. melanogaster	gene is orthologous to FBgn0001180 in D. melanogaster (identity = 21%) which is directly annotated for motif
bergman__hb	hb	hb	bergman	1.1	PEG3	0	None	None	0.096306	FBgn0001180	D. melanogaster	motif is annotated for orthologous gene FBgn0001180 in D. melanogaster (identity = 9%)
bergman__hb	hb	hb	bergman	1.1	PLAG1	0	None	None	0.09	FBgn0001180	D. melanogaster	gene is orthologous to FBgn0001180 in D. melanogaster (identity = 9%) which is directly annotated for motif
bergman__hb	hb	hb	bergman	1.1	PLAGL1	0	None	None	0.099352	FBgn0001180	D. melanogaster	gene is orthologous to FBgn0001180 in D. melanogaster (identity = 9%) which is directly annotated for motif
bergman__hb	hb	hb	bergman	1.1	PLAGL2	0	None	None	0.090726	FBgn0001180	D. melanogaster	gene is orthologous to FBgn0001180 in D. melanogaster (identity = 9%) which is directly annotated for motif
bergman__hb	hb	hb	bergman	1.1	REST	0	None	None	0.084433	FBgn0001180	D. melanogaster	motif is annotated for orthologous gene FBgn0001180 in D. melanogaster (identity = 8%)
bergman__hb	hb	hb	bergman	1.1	SCAND1	0	None	None	0.094972	FBgn0001180	D. melanogaster	gene is orthologous to FBgn0001180 in D. melanogaster (identity = 9%) which is directly annotated for motif
bergman__hb	hb	hb	bergman	1.1	ZKSCAN2	0	None	None	0.067282	FBgn0001180	D. melanogaster	motif is annotated for orthologous gene FBgn0001180 in D. melanogaster (identity = 6%)
bergman__hb	hb	hb	bergman	1.1	ZNF18	0	None	None	0.087432	FBgn0001180	D. melanogaster	gene is orthologous to FBgn0001180 in D. melanogaster (identity = 8%) which is directly annotated for motif
bergman__hb	hb	hb	bergman	1.1	ZNF131	0	None	None	0.072231	FBgn0001180	D. melanogaster	gene is orthologous to FBgn0001180 in D. melanogaster (identity = 7%) which is directly annotated for motif
bergman__hb	hb	hb	bergman	1.1	ZNF174	0	None	None	0.085995	FBgn0001180	D. melanogaster	gene is orthologous to FBgn0001180 in D. melanogaster (identity = 8%) which is directly annotated for motif
bergman__hb	hb	hb	bergman	1.1	ZNF202	0	None	None	0.078704	FBgn0001180	D. melanogaster	gene is orthologous to FBgn0001180 in D. melanogaster (identity = 7%) which is directly annotated for motif
bergman__hb	hb	hb	bergman	1.1	ZNF274	0	None	None	0.06585	FBgn0001180	D. melanogaster	gene is orthologous to FBgn0001180 in D. melanogaster (identity = 6%) which is directly annotated for motif
bergman__hb	hb	hb	bergman	1.1	ZNF444	0	None	None	0.094801	FBgn0001180	D. melanogaster	gene is orthologous to FBgn0001180 in D. melanogaster (identity = 9%) which is directly annotated for motif
bergman__hb	hb	hb	bergman	1.1	ZNF446	0	None	None	0.08	FBgn0001180	D. melanogaster	gene is orthologous to FBgn0001180 in D. melanogaster (identity = 8%) which is directly annotated for motif
bergman__hb	hb	hb	bergman	1.1	ZNF496	0	None	None	0.073254	FBgn0001180	D. melanogaster	gene is orthologous to FBgn0001180 in D. melanogaster (identity = 7%) which is directly annotated for motif
bergman__hb	hb	hb	bergman	1.1	ZNF518A	0	None	None	0.154354	FBgn0001180	D. melanogaster	motif is annotated for orthologous gene FBgn0001180 in D. melanogaster (identity = 15%)
bergman__hb	hb	hb	bergman	1.1	ZNF518B	0	None	None	0.122691	FBgn0001180	D. melanogaster	motif is annotated for orthologous gene FBgn0001180 in D. melanogaster (identity = 12%)
bergman__hb	hb	hb	bergman	1.1	ZNF576	0	None	None	0.129412	FBgn0001180	D. melanogaster	gene is orthologous to FBgn0001180 in D. melanogaster (identity = 12%) which is directly annotated for motif
bergman__hb	hb	hb	bergman	1.1	ZNF641	0	None	None	0.091981	FBgn0001180	D. melanogaster	gene is orthologous to FBgn0001180 in D. melanogaster (identity = 9%) which is directly annotated for motif
bergman__hb	hb	hb	bergman	1.1	ZNF770	0	None	None	0.0767	FBgn0001180	D. melanogaster	gene is orthologous to FBgn0001180 in D. melanogaster (identity = 7%) which is directly annotated for motif
bergman__hb	hb	hb	bergman	1.1	ZSCAN1	0	None	None	0.056372	FBgn0001180	D. melanogaster	gene is orthologous to FBgn0001180 in D. melanogaster (identity = 5%) which is directly annotated for motif
bergman__hb	hb	hb	bergman	1.1	ZSCAN5A	0	None	None	0.086693	FBgn0001180	D. melanogaster	gene is orthologous to FBgn0001180 in D. melanogaster (identity = 8%) which is directly annotated for motif
bergman__hb	hb	hb	bergman	1.1	ZSCAN5B	0	None	None	0.082828	FBgn0001180	D. melanogaster	gene is orthologous to FBgn0001180 in D. melanogaster (identity = 8%) which is directly annotated for motif
bergman__hb	hb	hb	bergman	1.1	ZSCAN5C	0	None	None	0.086693	FBgn0001180	D. melanogaster	gene is orthologous to FBgn0001180 in D. melanogaster (identity = 8%) which is directly annotated for motif
bergman__hb	hb	hb	bergman	1.1	ZSCAN18	0	None	None	0.05098	FBgn0001180	D. melanogaster	gene is orthologous to FBgn0001180 in D. melanogaster (identity = 5%) which is directly annotated for motif
bergman__hb	hb	hb	bergman	1.1	ZSCAN29	0	None	None	0.068602	FBgn0001180	D. melanogaster	motif is annotated for orthologous gene FBgn0001180 in D. melanogaster (identity = 6%)
bergman__hb	hb	hb	bergman	1.1	ZSCAN32	0	None	None	0.07604	FBgn0001180	D. melanogaster	gene is orthologous to FBgn0001180 in D. melanogaster (identity = 7%) which is directly annotated for motif
metacluster_0.2	oc	oc	bergman	1.1	CRX	7.45549e-07	metacluster_0.2	CRX[gene ID: ENSG00000105392 species: Homo sapiens TF status: direct TF family: Homeodomain DBDs: Homeobox]; ENSMUSG00000097436[gene ID: ENSMUSG00000097436 species: Mus musculus TF status: inferred TF family: Homeodomain DBDs: Homeobox]; Gsc2[gene ID: ENSMUSG00000022738 species: Mus musculus TF status: inferred TF family: Homeodomain DBDs: Homeobox]; Rhox9[gene ID: ENSMUSG00000068048 species: Mus musculus TF status: inferred TF family: Homeodomain DBDs: Homeobox]; TPRX1[gene ID: ENSG00000178928 species: Homo sapiens TF status: inferred TF family: Homeodomain DBDs: Homeobox]	1	None	None	motif similar to cisbp__M00274 ('CRX[gene ID: ENSG00000105392 species: Homo sapiens TF status: direct TF family: Homeodomain DBDs: Homeobox]; ENSMUSG00000097436[gene ID: ENSMUSG00000097436 species: Mus musculus TF status: inferred TF family: Homeodomain DBDs: Homeobox]; Gsc2[gene ID: ENSMUSG00000022738 species: Mus musculus TF status: inferred TF family: Homeodomain DBDs: Homeobox]; Rhox9[gene ID: ENSMUSG00000068048 species: Mus musculus TF status: inferred TF family: Homeodomain DBDs: Homeobox]; TPRX1[gene ID: ENSG00000178928 species: Homo sapiens TF status: inferred TF family: Homeodomain DBDs: Homeobox]'; q-value = 7.46e-07) which is directly annotated
metacluster_0.2	oc	oc	bergman	1.1	DMBX1	1.20837e-06	metacluster_0.2	Dmbx1	0.929134	ENSMUSG00000028707	M. musculus	motif similar to jaspar__MA0883.1 ('Dmbx1'; q-value = 1.21e-06) which is annotated for orthologous gene ENSMUSG00000028707 in M. musculus (identity = 92%)
metacluster_0.2	oc	oc	bergman	1.1	DPRX	9.56702e-06	hocomoco__DPRX_HUMAN.H11MO.0.D	DPRX_HUMAN	1	None	None	motif similar to hocomoco__DPRX_HUMAN.H11MO.0.D ('DPRX_HUMAN'; q-value = 9.57e-06) which is directly annotated
metacluster_0.2	oc	oc	bergman	1.1	GSC	1.90019e-08	metacluster_0.2	GSC_HUMAN	1	None	None	motif similar to hocomoco__GSC_HUMAN.H11MO.0.D ('GSC_HUMAN'; q-value = 1.9e-08) which is directly annotated
metacluster_0.2	oc	oc	bergman	1.1	OTX1	1.39912e-06	metacluster_0.2	OTX1 [Homeodomain]	1	None	None	motif similar to taipale_cyt_meth__OTX1_NTAATCCNYN_FL ('OTX1 [Homeodomain]'; q-value = 1.4e-06) which is directly annotated
metacluster_0.2	oc	oc	bergman	1.1	OTX2	3.97914e-06	metacluster_0.2	OTX2_HUMAN	1	None	None	gene is annotated for similar motif hocomoco__OTX2_HUMAN.H11MO.0.A ('OTX2_HUMAN'; q-value = 3.98e-06)
metacluster_113.2	ovo	ovo	bergman	1.1	OVOL1	0	None	None	0.535581	FBgn0003028	D. melanogaster	gene is orthologous to FBgn0003028 in D. melanogaster (identity = 53%) which is directly annotated for motif
bergman__pho	pho	pho	bergman	1.1	YY1	0	None	None	0.398551	FBgn0002521	D. melanogaster	gene is orthologous to FBgn0002521 in D. melanogaster (identity = 39%) which is directly annotated for motif
metacluster_119.3	pnr	pnr	bergman	1.1	ASCL1	6.58405e-06	tfdimers__MD00222	M01034_reverse_16_M00789_forward dimer: Ebox / GATA	1	None	None	motif similar to tfdimers__MD00222 ('M01034_reverse_16_M00789_forward dimer: Ebox / GATA'; q-value = 6.58e-06) which is directly annotated
metacluster_119.3	pnr	pnr	bergman	1.1	BHLHE40	6.58405e-06	tfdimers__MD00222	M01034_reverse_16_M00789_forward dimer: Ebox / GATA	1	None	None	motif similar to tfdimers__MD00222 ('M01034_reverse_16_M00789_forward dimer: Ebox / GATA'; q-value = 6.58e-06) which is directly annotated
